show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1136,Movie,Pixel Perfect,United States,2019-11-12,2004,TV-G,90,Music,A techno whiz must protect his hologram from falling into the wrong hands.,Disney
s1137,Movie,Planet of the Birds,United States,2019-11-12,2018,TV-PG,45,Animals & Nature,"Tough and versatile, birds live in almost every habitat across the world.",Disney
s1137,Movie,Planet of the Birds,United States,2019-11-12,2018,TV-PG,45,Documentary,"Tough and versatile, birds live in almost every habitat across the world.",Disney
s1137,Movie,Planet of the Birds,United States,2019-11-12,2018,TV-PG,45,Family,"Tough and versatile, birds live in almost every habitat across the world.",Disney
s1138,Movie,Pluto and the Gopher,United States,2019-11-12,1950,TV-PG,7,Animation,Pluto tries to catch a gopher in Minnie's garden. See details for advisory.,Disney
s1138,Movie,Pluto and the Gopher,United States,2019-11-12,1950,TV-PG,7,Comedy,Pluto tries to catch a gopher in Minnie's garden. See details for advisory.,Disney
s1138,Movie,Pluto and the Gopher,United States,2019-11-12,1950,TV-PG,7,Family,Pluto tries to catch a gopher in Minnie's garden. See details for advisory.,Disney
s1139,Movie,Pluto's Christmas Tree,United States,2019-11-12,1952,TV-Y7,7,Animation,Pluto and Mickey bring home a special Christmas Tree. See details for advisory.,Disney
s1139,Movie,Pluto's Christmas Tree,United States,2019-11-12,1952,TV-Y7,7,Family,Pluto and Mickey bring home a special Christmas Tree. See details for advisory.,Disney
s1139,Movie,Pluto's Christmas Tree,United States,2019-11-12,1952,TV-Y7,7,Kids,Pluto and Mickey bring home a special Christmas Tree. See details for advisory.,Disney
s1140,Movie,Pluto's Surprise Package,United States,2019-11-12,1949,TV-G,7,Animation,"Pluto tries to bring in the mail, but one parcel refuses to cooperate. See details for advisory.",Disney
s1140,Movie,Pluto's Surprise Package,United States,2019-11-12,1949,TV-G,7,Comedy,"Pluto tries to bring in the mail, but one parcel refuses to cooperate. See details for advisory.",Disney
s1140,Movie,Pluto's Surprise Package,United States,2019-11-12,1949,TV-G,7,Family,"Pluto tries to bring in the mail, but one parcel refuses to cooperate. See details for advisory.",Disney
s1141,Movie,Pluto's Sweater,United States,2019-11-12,1949,TV-G,7,Animation,Pluto hates the sweater that Minnie knits for him. See details for advisory.,Disney
s1141,Movie,Pluto's Sweater,United States,2019-11-12,1949,TV-G,7,Comedy,Pluto hates the sweater that Minnie knits for him. See details for advisory.,Disney
s1141,Movie,Pluto's Sweater,United States,2019-11-12,1949,TV-G,7,Family,Pluto hates the sweater that Minnie knits for him. See details for advisory.,Disney
